zoofold1	0.963075084300338	0.9825203460813838		0.875	1.0	0.9	1.0	7.0	50.0
zoofold2	0.9676303985215952	0.9762585290341182		0.875	1.0	0.95	1.0	3.0	26.0
zoofold3	0.9633920775683106	0.9862886491545965		0.875	1.0	0.925	1.0	4.0	24.0
zoofold4	0.9679237756951031	0.9831617246468992		0.875	1.0	0.925	1.0	4.0	24.0
zoofold5	0.9544821859287428	0.9798612314449268		0.9	0.25	0.875	0.75	3.0	24.0
zoofold1	0.9639576158304641	0.98861320245281		0.8	0.5	0.825	1.0	8.0	50.0
zoofold2	0.9678824955299822	0.9849052836211356		0.8	0.5	0.8	0.75	3.0	26.0
zoofold3	0.9651135564542244	0.9853596534386135		0.8	0.5	0.825	0.75	4.0	22.0
zoofold4	0.9637391189564749	0.9872905091620378		0.8	0.5	0.825	0.75	2.0	25.0
zoofold5	0.9681831687326742	0.9765961623846501		0.8	0.5	0.8	0.75	2.0	21.0
zoofold1	0.9622351769407083	0.982806811227246		0.8	0.5	0.825	1.0	3.0	23.0
zoofold2	0.9592429409717642	0.9844873939495778		0.8	0.5	0.825	1.0	2.0	23.0
zoofold3	0.9671095964383868	0.9794949899799612		0.825	0.75	0.925	1.0	4.0	23.0
zoofold4	0.963587726350906	0.9799522398089596		0.825	0.75	0.875	1.0	3.0	21.0
zoofold5	0.9631416125664511	0.9849835239340959		0.825	1.0	0.925	1.0	2.0	33.0
zoofold1	0.9671876447505785	0.9850171240684968		0.775	0.75	0.825	1.0	2.0	33.0
zoofold2	0.9644134256537025	0.983541982167929		0.75	0.5	0.8	1.0	3.0	25.0
zoofold3	0.9722845931383722	0.966455161820648		0.775	0.75	0.875	1.0	3.0	21.0
zoofold4	0.9648939075756297	0.9863586334345346		0.75	0.5	0.825	1.0	3.0	21.0
zoofold5	0.9616010944043777	0.9898547754191025		0.775	0.5	0.825	1.0	3.0	20.0
zoofold1	0.9654810459241833	0.9793037572150287		0.775	0.5	0.85	1.0	2.0	21.0
zoofold2	0.9611647726590904	0.9833434533738135		0.775	0.5	0.85	1.0	2.0	23.0
zoofold3	0.9600060480241919	0.985714086856347		0.775	0.75	0.8	1.0	2.0	21.0
zoofold4	0.9662519290077151	0.9840304321217282		0.775	0.75	0.8	1.0	3.0	21.0
zoofold5	0.9611815727262902	0.9865842343369378		0.775	0.5	0.8	1.0	3.0	28.0
zoofold1	0.9655954783819127	0.9865007140028563		0.85	1.0	0.875	0.75	3.0	25.0
zoofold2	0.9661386485545941	0.9846289945159773		0.875	0.75	0.9	1.0	3.0	25.0
zoofold3	0.9712709250836981	0.957494197976792		0.85	0.75	0.925	1.0	2.0	23.0
zoofold4	0.9631263485053931	0.9850450601802413		0.85	1.0	0.875	0.75	2.0	22.0
zoofold5	0.9673099492397972	0.9775727742910955		0.825	1.0	0.925	1.0	2.0	22.0
zoofold1	0.9602822411289645	0.9820606002424006		0.85	0.25	0.9	1.0	3.0	19.0
zoofold2	0.9577985191940753	0.9837975351901403		0.875	0.75	0.875	1.0	2.0	17.0
zoofold3	0.9611887727550915	0.9828581714326844		0.85	0.25	0.925	1.0	2.0	16.0
zoofold4	0.9665042180168708	0.9752174048696185		0.875	0.5	0.9	1.0	4.0	17.0
zoofold5	0.9588046032184128	0.9885923703694807		0.875	0.5	0.875	1.0	3.0	17.0
zoofold1	0.9616112704450817	0.9749383317533269		0.8	0.5	0.8	0.75	2.0	17.0
zoofold2	0.9650779403117612	0.968915939663758		0.8	0.75	0.9	1.0	3.0	17.0
zoofold3	0.9633581894327589	0.9795909903639607		0.8	0.5	0.95	1.0	3.0	17.0
zoofold4	0.9652765651062601	0.9801646886587545		0.8	0.5	0.85	1.0	2.0	26.0
zoofold5	0.9635715022860082	0.970179688718755		0.8	0.5	0.95	1.0	3.0	20.0
zoofold1	0.9652505490021982	0.9731671246685002		0.825	0.75	0.85	1.0	3.0	15.0
zoofold2	0.9623876255505025	0.9825073860295436		0.825	0.5	0.85	1.0	2.0	16.0
zoofold3	0.9588650834603345	0.983277789111157		0.825	0.5	0.875	1.0	2.0	16.0
zoofold4	0.958243672974692	0.9802707690830744		0.825	0.25	0.85	1.0	3.0	17.0
zoofold5	0.954650954603819	0.9821009204036807		0.825	0.5	0.85	0.75	2.0	17.0
zoofold1	0.9624817059268227	0.9891245964983857		0.775	0.25	0.775	0.75	2.0	17.0
zoofold2	0.9650611402445615	0.9871699326797302		0.775	0.25	0.775	0.75	2.0	17.0
zoofold3	0.9708130032520127	0.9828575954303811		0.775	0.5	0.8	0.75	2.0	16.0
zoofold4	0.969713510854044	0.9821533366133465		0.775	0.5	0.8	0.75	3.0	17.0
zoofold5	0.9729211716846867	0.9827352909411637		0.775	0.5	0.8	0.75	2.0	17.0
zoofold1	0.9630980283921118	0.9831955167820671		0.775	0.75	0.825	0.75	2.0	17.0
zoofold2	0.9658981675926688	0.9792028608114428		0.8	0.75	0.85	0.75	3.0	18.0
zoofold3	0.9599594878379507	0.9863270493081965		0.775	0.75	0.825	0.75	2.0	14.0
zoofold4	0.9650796683186723	0.9761240324961297		0.775	0.5	0.8	0.75	2.0	18.0
zoofold5	0.9640892323569292	0.9858704714818859		0.8	0.75	0.825	0.75	2.0	15.0
zoofold1	0.9682586250345012	0.9843814095256388		0.775	0.75	0.85	0.75	8.0	50.0
zoofold2	0.9631666686666753	0.9876809427237713		0.775	0.75	0.8	0.75	3.0	36.0
zoofold3	0.9622382489529963	0.9850938283753136		0.775	0.5	0.75	0.75	3.0	19.0
zoofold4	0.965255253021012	0.9831871647486587		0.775	0.5	0.75	0.75	3.0	20.0
zoofold5	0.9646226104904413	0.9855212220848891		0.775	0.5	0.8	0.75	3.0	22.0
zoofold1	0.9597002868011464	0.9868402673610693		0.85	0.5	0.85	1.0	2.0	22.0
zoofold2	0.9617163908655633	0.9869598838395355		0.85	0.5	0.875	1.0	3.0	23.0
zoofold3	0.966437113748454	0.9838347833391323		0.85	0.75	0.9	1.0	3.0	25.0
zoofold4	0.9687756831027319	0.9792744770979079		0.85	0.75	0.875	1.0	3.0	23.0
zoofold5	0.9606901467605858	0.9854046776187099		0.85	0.5	0.85	0.75	3.0	22.0
zoofold1	0.9655447901791612	0.9674973419893668		0.825	0.75	0.9	0.75	4.0	24.0
zoofold2	0.9671080604322411	0.9794171336685331		0.825	0.5	0.9	0.75	4.0	23.0
zoofold3	0.9609607718430868	0.9789430837723355		0.8	0.75	0.9	0.75	4.0	22.0
zoofold4	0.9616670466681859	0.9845345301381209		0.8	0.75	0.825	0.75	3.0	21.0
zoofold5	0.9551741566966268	0.9874599498398005		0.8	0.5	0.825	0.75	3.0	21.0
zoofold1	0.9613240372961489	0.9849280357121428		0.825	1.0	0.825	1.0	3.0	21.0
zoofold2	0.9680576002304012	0.9703514334057325		0.825	1.0	0.875	1.0	3.0	21.0
zoofold3	0.9644575858303442	0.9791563966255874		0.825	1.0	0.825	1.0	2.0	23.0
zoofold4	0.9670519002076007	0.9834454057816229		0.825	1.0	0.825	1.0	3.0	22.0
zoofold5	0.9627103788415157	0.9803540014160069		0.8	0.75	0.875	1.0	2.0	23.0
zoofold1	0.9687009948039796	0.9844532178128717		0.8	0.75	0.775	0.5	3.0	21.0
zoofold2	0.9729303877215516	0.9842081288325143		0.825	0.75	0.875	1.0	3.0	21.0
zoofold3	0.9741108084432342	0.9815670622682483		0.8	0.75	0.825	1.0	2.0	28.0
zoofold4	0.9701650006600023	0.9869306037224141		0.825	0.75	0.825	0.75	3.0	22.0
zoofold5	0.9713843015372051	0.9882063528254106		0.825	0.75	0.825	1.0	2.0	21.0
zoofold1	0.9620125520502087	0.9847662750650994		0.8	0.75	0.875	1.0	2.0	17.0
zoofold2	0.9587035148140588	0.9803032172128681		0.8	0.75	0.85	0.75	3.0	17.0
zoofold3	0.962290953163811	0.9819123756495016		0.825	0.75	0.925	1.0	3.0	18.0
zoofold4	0.9649056196224777	0.9834882219528868		0.8	0.75	0.875	1.0	2.0	16.0
zoofold5	0.9677189108756431	0.9741450805803221		0.825	0.5	0.9	1.0	3.0	17.0
zoofold1	0.9642204648818601	0.9777229188916757		0.8	0.75	0.9	0.75	3.0	18.0
zoofold2	0.9642168168672683	0.9725116340465373		0.8	0.75	0.9	0.75	3404.0	19.0
zoofold3	0.9641205284821149	0.9853757815031277		0.8	0.75	0.85	0.75	3.0	16.0
zoofold4	0.9632652610610439	0.9819452077808322		0.8	0.75	0.8	0.75	2.0	16.0
zoofold5	0.9621614486457946	0.9850311401245615		0.8	0.75	0.8	0.75	5.0	17.0
