Name	UserRank	AHPRank	SVMRank
"{0,32,5} => {6}"	5	5	6
"{17,2} => {15}"	1	1	5
"{20,6} => {5}"	6	4	1
"{17,8} => {15}"	7	12	25
"{19,2} => {1}"	23	23	36
"{22,5} => {6}"	36	26	15
"{22,32,6} => {0}"	51	32	30
"{10,22} => {19}"	28	42	37
"{17,19,2,8} => {15}"	46	30	28
"{34,5} => {6}"	22	14	14
"{10} => {19}"	29	43	38
"{31} => {17}"	12	33	35
"{0,20} => {5}"	13	11	10
"{0,22,6} => {5}"	40	29	24
"{17,2,20} => {15}"	3	3	2
"{0,34} => {6}"	18	13	12
"{2,31,8} => {15}"	21	17	26
"{17,20,32,8} => {15}"	70	45	39
"{0,20,32} => {5}"	19	15	13
"{20,32,5} => {0}"	26	22	16
"{34,6} => {5}"	33	20	18
"{0,32} => {6}"	8	8	9
"{34,5,6} => {0}"	35	25	27
"{17,31,8} => {15}"	43	35	34
"{0,22,32} => {6}"	41	27	20
"{2,20,31,8} => {15}"	31	24	21
"{32,6} => {0}"	4	7	11
"{32,5} => {6}"	10	9	4
"{0,32,6} => {5}"	11	10	8
"{17,20,8} => {15}"	17	16	32
"{22,6} => {0}"	24	18	22
"{0,20,5} => {6}"	9	6	7
"{0,22} => {5}"	39	28	23
"{0,34} => {5}"	34	21	19
"{17,2,31,32} => {15}"	47	31	29
"{17,2,31,32,8} => {15}"	58	37	31
"{6} => {5}"	2	2	3
"{0,34,6} => {5}"	32	19	17
"{17,32,8} => {15}"	42	34	33
"{20,31} => {17}"	14	36	40
