"yuleY"	"cosine"	"laplace"	"leverage"	"lambda"	"lift"	"certainty"	"chiSquared"
"1"	NA	0.982722952070933	0.998639455782313	0.134835959141274	0.830065359477124	1.20158102766798	1	752.827433921434
"2"	NA	0.982722952070933	0.964520367936925	0.134835959141274	0.854748603351955	1.20158102766798	0.825468677545433	752.827433921434
"3"	NA	0.974413600728651	0.998639455782313	0.123379309018159	0.721428571428571	1.18134715025907	1	677.261701450198
"4"	NA	0.974413600728651	0.948320413436692	0.123379309018159	0.782122905027933	1.18134715025907	0.742611514748025	677.261701450198
"5"	NA	0.971273361815274	0.998639455782313	0.118972905124654	0.674074074074074	1.17374517374517	1	648.871249541641
"6"	NA	0.971273361815274	0.942233632862644	0.118972905124654	0.754189944134078	1.17374517374517	0.711481633269343	648.871249541641
"7"	0.936386392178462	0.949398774159435	0.997278911564626	0.0879128674207449	0.207920792079208	1.12300345017268	0.987681169208326	453.711564546136
"8"	0.936386392178462	0.949398774159435	0.90159901599016	0.0879128674207449	0.553072625698324	1.12300345017268	0.503695692606548	453.711564546136
"9"	NA	0.949525679479054	0.998639455782313	0.0872467970914127	0.191919191919192	1.12177121771218	1	454.768558411841
"10"	NA	0.949525679479054	0.900613496932515	0.0872467970914127	0.553072625698324	1.12177121771218	0.498649735100703	454.768558411841
"11"	NA	0.989290186565947	0.998643147896879	0.142273343721145	0.900621118012422	1.21438082556591	1	811.885621431312
"12"	NA	0.989290186565947	0.97742363877822	0.142273343721145	0.909604519774011	1.21438082556591	0.890225462095737	811.885621431312
"13"	NA	0.986013297183269	0.998643147896879	0.137854916897507	0.865384615384615	1.20634920634921	1	781.468926553672
"14"	NA	0.986013297183269	0.970976253298153	0.137854916897507	0.88135593220339	1.20634920634921	0.856873822975518	781.468926553672
"15"	NA	0.975110701248592	0.998643147896879	0.122832265697138	0.726618705035971	1.17981888745149	1	680.995461223058
"16"	NA	0.975110701248592	0.949677419354839	0.122832265697138	0.785310734463277	1.17981888745149	0.746705549586686	680.995461223058
"17"	NA	0.963343294485566	0.998643147896879	0.106042243767313	0.525	1.15151515151515	1	573.805855161787
"18"	NA	0.963343294485566	0.926952141057935	0.106042243767313	0.677966101694915	1.15151515151515	0.629173086800205	573.805855161787
"19"	NA	0.954348295511121	0.998643147896879	0.0927869632963989	0.314285714285714	1.13011152416357	1	492.747778967929
"20"	NA	0.954348295511121	0.909765142150804	0.0927869632963989	0.593220338983051	1.13011152416357	0.540293617289396	492.747778967929
"21"	0.937254300356099	0.950696649327968	0.997286295793758	0.0881557306094183	0.227722772277228	1.1230076247515	0.987714689836331	460.121425268496
"22"	0.937254300356099	0.950696649327968	0.904059040590406	0.0881557306094183	0.559322033898305	1.1230076247515	0.510794373968108	460.121425268496
"23"	NA	0.950820193617282	0.998643147896879	0.0874848511080333	0.212121212121212	1.12177121771218	1	461.162048908625
"24"	NA	0.950820193617282	0.903067484662577	0.0874848511080333	0.559322033898305	1.12177121771218	0.505660141347176	461.162048908625
"25"	NA	0.996687635814874	0.99867197875166	0.140855840258541	0.967948717948718	1.20634920634921	1	877.832593907128
"26"	NA	0.996687635814874	0.992084432717678	0.140855840258541	0.968944099378882	1.20634920634921	0.962535738933254	877.832593907128
"27"	NA	0.985667011044985	0.99867197875166	0.125506165358572	0.841726618705036	1.17981888745149	1	764.969651193623
"28"	NA	0.985667011044985	0.970322580645161	0.125506165358572	0.863354037267081	1.17981888745149	0.838782512273709	764.969651193623
"29"	NA	0.973772213216378	0.99867197875166	0.108350646352724	0.658333333333333	1.15151515151515	1	644.562394127611
"30"	NA	0.973772213216378	0.947103274559194	0.108350646352724	0.745341614906832	1.15151515151515	0.706757011104837	644.562394127611
"31"	0.776466234199128	0.948537529917606	0.973439575033201	0.0866143909664513	0.327731092436975	1.120966915907	0.806107263144939	414.828266665096
"32"	0.776466234199128	0.948537529917606	0.922012578616352	0.0866143909664513	0.503105590062112	1.120966915907	0.564261825131391	414.828266665096
"33"	0.818966851004646	0.953409503008072	0.98273572377158	0.0879693751923669	0.348214285714286	1.12178428761651	0.869887768689367	450.674913141543
"34"	0.818966851004646	0.953409503008072	0.922693266832918	0.0879693751923669	0.546583850931677	1.12178428761651	0.568074534161491	450.674913141543
"35"	NA	0.964679836584534	0.99867197875166	0.0948068155586334	0.466666666666667	1.13011152416357	1	553.508970421852
"36"	NA	0.964679836584534	0.929542645241038	0.0948068155586334	0.652173913043478	1.13011152416357	0.606917730725715	553.508970421852
"37"	0.944543563068076	0.961016552024475	0.99734395750332	0.0900986361188058	0.386138613861386	1.12304022093025	0.987976427469645	517.133395120744
"38"	0.944543563068076	0.961016552024475	0.923739237392374	0.0900986361188058	0.614906832298137	1.12304022093025	0.573932956016267	517.133395120744
"39"	NA	0.961113540323085	0.99867197875166	0.0893892832409973	0.373737373737374	1.12177121771218	1	518.02837432101
"40"	NA	0.961113540323085	0.922699386503067	0.0893892832409973	0.614906832298137	1.12177121771218	0.568013568334441	518.02837432101
"41"	0.800468373788863	0.956789938740766	0.964379947229551	0.100559787626962	0.535211267605634	1.14368171511029	0.779119159400849	494.763238103278
"42"	0.800468373788863	0.956789938740766	0.946891191709845	0.100559787626962	0.576923076923077	1.14368171511029	0.696303696303696	494.763238103278
"43"	NA	0.988942749589866	0.99868073878628	0.12634175900277	0.877697841726619	1.17981888745149	1	794.744153647129
"44"	NA	0.988942749589866	0.976774193548387	0.12634175900277	0.891025641025641	1.17981888745149	0.871429993034133	794.744153647129
