"rules"	"support"	"confidence"	"coverage"	"lift"	"count"
"1"	"{35} => {17}"	0.300699300699301	0.977272727272727	0.307692307692308	1.68373493975904	43
"2"	"{17} => {35}"	0.300699300699301	0.518072289156627	0.58041958041958	1.68373493975904	43
"3"	"{35} => {20}"	0.300699300699301	0.977272727272727	0.307692307692308	1.50268817204301	43
"4"	"{20} => {35}"	0.300699300699301	0.462365591397849	0.65034965034965	1.50268817204301	43
"5"	"{12} => {20}"	0.300699300699301	0.955555555555556	0.314685314685315	1.46929510155317	43
"6"	"{20} => {12}"	0.300699300699301	0.462365591397849	0.65034965034965	1.46929510155317	43
"7"	"{1} => {19}"	0.314685314685315	1	0.314685314685315	1.7875	45
"8"	"{19} => {1}"	0.314685314685315	0.5625	0.559440559440559	1.7875	45
"9"	"{1} => {2}"	0.314685314685315	1	0.314685314685315	1.74390243902439	45
"10"	"{2} => {1}"	0.314685314685315	0.548780487804878	0.573426573426573	1.74390243902439	45
"11"	"{1} => {20}"	0.300699300699301	0.955555555555556	0.314685314685315	1.46929510155317	43
"12"	"{20} => {1}"	0.300699300699301	0.462365591397849	0.65034965034965	1.46929510155317	43
"13"	"{13} => {8}"	0.342657342657343	0.875	0.391608391608392	1.60416666666667	49
"14"	"{8} => {13}"	0.342657342657343	0.628205128205128	0.545454545454545	1.60416666666667	49
"15"	"{13} => {2}"	0.328671328671329	0.839285714285714	0.391608391608392	1.46363240418118	47
"16"	"{2} => {13}"	0.328671328671329	0.573170731707317	0.573426573426573	1.46363240418118	47
"17"	"{13} => {17}"	0.328671328671329	0.839285714285714	0.391608391608392	1.4459982788296	47
"18"	"{17} => {13}"	0.328671328671329	0.566265060240964	0.58041958041958	1.4459982788296	47
"19"	"{13} => {22}"	0.300699300699301	0.767857142857143	0.391608391608392	1.30718537414966	43
"20"	"{22} => {13}"	0.300699300699301	0.511904761904762	0.587412587412587	1.30718537414966	43
"21"	"{13} => {32}"	0.377622377622378	0.964285714285714	0.391608391608392	1.56696428571429	54
"22"	"{32} => {13}"	0.377622377622378	0.613636363636364	0.615384615384615	1.56696428571429	54
"23"	"{13} => {20}"	0.34965034965035	0.892857142857143	0.391608391608392	1.37288786482335	50
"24"	"{20} => {13}"	0.34965034965035	0.537634408602151	0.65034965034965	1.37288786482335	50
"25"	"{34} => {5}"	0.321678321678322	0.807017543859649	0.398601398601399	1.9233918128655	46
"26"	"{5} => {34}"	0.321678321678322	0.766666666666667	0.41958041958042	1.9233918128655	46
"27"	"{34} => {6}"	0.335664335664336	0.842105263157895	0.398601398601399	1.97411561691113	48
"28"	"{6} => {34}"	0.335664335664336	0.786885245901639	0.426573426573427	1.97411561691113	48
"29"	"{34} => {0}"	0.335664335664336	0.842105263157895	0.398601398601399	1.91144527986633	48
"30"	"{0} => {34}"	0.335664335664336	0.761904761904762	0.440559440559441	1.91144527986633	48
"31"	"{34} => {2}"	0.300699300699301	0.754385964912281	0.398601398601399	1.31557552417629	43
"32"	"{2} => {34}"	0.300699300699301	0.524390243902439	0.573426573426573	1.31557552417629	43
"33"	"{34} => {22}"	0.335664335664336	0.842105263157895	0.398601398601399	1.43358395989975	48
"34"	"{22} => {34}"	0.335664335664336	0.571428571428571	0.587412587412588	1.43358395989975	48
"35"	"{34} => {32}"	0.34965034965035	0.87719298245614	0.398601398601399	1.42543859649123	50
"36"	"{32} => {34}"	0.34965034965035	0.568181818181818	0.615384615384615	1.42543859649123	50
"37"	"{34} => {20}"	0.34965034965035	0.87719298245614	0.398601398601399	1.3488021128089	50
"38"	"{20} => {34}"	0.34965034965035	0.537634408602151	0.65034965034965	1.3488021128089	50
"39"	"{5} => {6}"	0.405594405594406	0.966666666666667	0.41958041958042	2.26612021857924	58
"40"	"{6} => {5}"	0.405594405594406	0.950819672131147	0.426573426573427	2.26612021857923	58
"41"	"{5} => {0}"	0.405594405594406	0.966666666666667	0.41958041958042	2.19417989417989	58
"42"	"{0} => {5}"	0.405594405594406	0.920634920634921	0.440559440559441	2.19417989417989	58
"43"	"{5} => {22}"	0.321678321678322	0.766666666666667	0.41958041958042	1.30515873015873	46
"44"	"{22} => {5}"	0.321678321678322	0.547619047619048	0.587412587412587	1.30515873015873	46
"45"	"{5} => {32}"	0.377622377622378	0.9	0.41958041958042	1.4625	54
"46"	"{32} => {5}"	0.377622377622378	0.613636363636364	0.615384615384615	1.4625	54
"47"	"{5} => {20}"	0.370629370629371	0.883333333333333	0.41958041958042	1.35824372759857	53
"48"	"{20} => {5}"	0.370629370629371	0.56989247311828	0.65034965034965	1.35824372759857	53
"49"	"{6} => {0}"	0.41958041958042	0.983606557377049	0.426573426573427	2.23263075722092	60
"50"	"{0} => {6}"	0.41958041958042	0.952380952380952	0.440559440559441	2.23263075722092	60
"51"	"{6} => {22}"	0.328671328671329	0.770491803278688	0.426573426573427	1.31167056986729	47
"52"	"{22} => {6}"	0.328671328671329	0.55952380952381	0.587412587412587	1.31167056986729	47
"53"	"{6} => {32}"	0.384615384615385	0.901639344262295	0.426573426573427	1.46516393442623	55
"54"	"{32} => {6}"	0.384615384615385	0.625	0.615384615384615	1.46516393442623	55
"55"	"{6} => {20}"	0.363636363636364	0.852459016393443	0.426573426573427	1.3107703155297	52
"56"	"{20} => {6}"	0.363636363636364	0.559139784946237	0.65034965034965	1.3107703155297	52
"57"	"{15} => {31}"	0.363636363636364	0.852459016393443	0.426573426573427	1.62535519125683	52
"58"	"{31} => {15}"	0.363636363636364	0.693333333333333	0.524475524475524	1.62535519125683	52
